,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount,likeRatio,commentRatio,titleLength,title_no_stopwords
0,uSMO86uTxo8,NeetCode,Q&A stream (and launching newsletter soon),"Answering your questions and discussing my upcoming newsletter.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second channel for daily videos:   @NeetCodeIO  

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#leetcode #neetcode #python",,2023-10-15 22:42:33+00:00,16439,505,0,18,PT1H43M27S,hd,false,Sunday,6207.0,0,30.71963014781921,1.0949571141796948,42,"['Q&A', 'stream', '(and', 'launching', 'newsletter', 'soon)']"
1,UrcwDOEBzZE,NeetCode,Most Common Concepts for Coding Interviews,"The fastest way to prepare for coding interviews: prioritize the most common data structures and algorithms.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second Channel:  https://www.youtube.com/@NeetCodeIO

🌎 https://neetcode.io/roadmap - Coding Interview Roadmap
📃 https://neetcode.io/practice - Neetcode 150


🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🥷 Discord: https://discord.gg/ddjKRXPqtk

🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


0:00 - Read the problem
0:36 - Arrays
1:45 - Decision Trees
2:36 - Graphs
4:04 - HashMaps
4:32 - Heaps
5:01 - Dynamic Programming
5:47 - Solving 100s of problems?


#coding #neetcode #python",,2023-10-15 14:45:04+00:00,53273,3463,0,88,PT6M8S,hd,false,Sunday,368.0,0,65.00478666491469,1.651868676440223,42,"['Most', 'Common', 'Concepts', 'Coding', 'Interviews']"
2,a3Aep-SygUA,NeetCode,Leetcode 24 Hour Challenge (while learning Golang),"Coding leetcode problems for 24 hours straight because I enjoy the pain. And I get to learn about Golang, which is such a great language for leetcoding.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews

Checkout my second Channel for daily uploads:  https://www.youtube.com/@NeetCodeIO

🧑‍💼 Connect on LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/

🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io

0:00 - Stream starts
17:50 - Challenge starts
24:14:15 - Challenge ends

#leetcode #neetcode #golang",,2023-09-30 12:36:38+00:00,37406,980,0,93,P1DT17M16S,hd,false,Saturday,87436.0,0,26.19900550713789,2.4862321552692084,50,"['Leetcode', '24', 'Hour', 'Challenge', '(while', 'learning', 'Golang)']"
3,e64g-sJAoK0,NeetCode,Grinding Leetcode for 24 hours (learning Golang),"Solving as many leetcode problems as I can in 24 hours, while learning Golang.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second channel for daily videos:   @NeetCodeIO  

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#leetcode #neetcode #python",,2023-09-26 19:10:42+00:00,71135,1855,0,43,PT5H41M54S,hd,false,Tuesday,20514.0,0,26.07717719828495,0.6044844310114571,48,"['Grinding', 'Leetcode', '24', 'hours', '(learning', 'Golang)']"
4,QHXET1G9Y5U,NeetCode,I quit Amazon after two months,"Sharing my story of working at Amazon and being unemployed for over a year.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews.

Checkout my second Channel for daily uploads:  https://www.youtube.com/@NeetCodeIO

🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/


0:00 - Intro
0:36 - Back Story
1:25 - Amazon days
4:07 - Mental breakdown
6:59 - How I got better
9:30 - My Advice


#coding #neetcode #python",,2023-09-25 15:52:06+00:00,281273,20836,0,1497,PT10M9S,hd,false,Monday,609.0,0,74.07749766241338,5.322231426407797,30,"['I', 'quit', 'Amazon', 'two', 'months']"
5,JtdB-jiN6O0,NeetCode,I coded a Leetcode clone (it's easier than you think),"I coded a leetcode clone (an online code judge application, not literally a leetcode clone). I walk through how I did it, including the backend, frontend, and the process of executing test cases.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second Channel:  https://www.youtube.com/@NeetCodeIO

🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
🥷 Discord: https://discord.gg/ddjKRXPqtk

0:00 - Intro
0:20 - Backend
3:02 - Frontend
4:45 - Adding a problem
7:58 - How I did it so quickly
8:49 - How did I git gud?


#algorithms #neetcode #leetcode",,2023-09-02 14:42:16+00:00,110558,4052,0,251,PT9M31S,hd,false,Saturday,571.0,0,36.65044591978871,2.270301561171512,53,"['I', 'coded', 'Leetcode', 'clone', ""(it's"", 'easier', 'think)']"
6,l8dpetPPkFQ,NeetCode,Google's Tech Stack (6 internal tools revealed),"Google's internal tech stack is mostly public and we talk about 6 of the most influential infrastructure tools used at google, either currently or in the past.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews
📝 https://neetcode.io/courses/lessons/design-youtube - Youtube Skeleton Design Doc


MongoDB Cheat sheet: https://neetcode.io/courses/lessons/mongodb
MongoDB Atlas - https://tinyurl.com/kae79pew


Tools mentioned are from this Github repo: https://github.com/jhuangtw/xg2xg

Checkout my second Channel:  https://www.youtube.com/@NeetCodeIO

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io



#google #techstack #neetcode",,2023-08-13 14:45:02+00:00,235908,6535,0,172,PT9M7S,hd,false,Sunday,547.0,0,27.701476846906424,0.7290977838818523,47,"[""Google's"", 'Tech', 'Stack', '(6', 'internal', 'tools', 'revealed)']"
7,6pzoo2HXJT8,NeetCode,My Last Day at Google,"I left Google earlier this year, after working there for about 1.5 years as a software engineer.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews!

Checkout my second Channel:  @NeetCodeIO 

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


0:00 - My last day
0:32 - What happened
1:20 - Why I left
3:55 - What's next


#google #leetcode #neetcode",,2023-06-11 14:45:00+00:00,489378,22885,0,1555,PT4M59S,hd,false,Sunday,299.0,0,46.76344257404297,3.17750287099134,21,"['My', 'Last', 'Day', 'Google']"
8,Hp5zAvNQHjE,NeetCode,NeetCode Live Stream,"🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second Channel:  @NeetCodeIO  

🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#coding #neetcode #leetcode",,2023-06-09 03:08:28+00:00,0,3,0,0,P0D,sd,false,Friday,0.0,0,inf,,20,"['NeetCode', 'Live', 'Stream']"
9,8wysIxzqgPI,NeetCode,My Brain after 569 Leetcode Problems,"🗺️ Roadmap: https://neetcode.io

In this video I wanted to share every single thing I learned from solving and explaining hundreds of leetcode problems.

Quiz Feature: https://neetcode.io/

🚀 https://neetcode.io/ - A better way to prepare for coding interviews!

Second channel: @NeetCodeIO 

🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#coding #neetcode #leetcode",,2023-05-06 16:00:11+00:00,1734381,71358,0,880,PT7M50S,hd,false,Saturday,470.0,0,41.14320901808772,0.5073856321073629,36,"['My', 'Brain', '569', 'Leetcode', 'Problems']"
